sku,product_name,location,current_qty,unit_cost,supplier,recent_units,recent_revenue,avg_weekly_demand
SKU0583,Product 0583,Store A,510.0,0.0251,Supplier 64,1567.0,75.696,119.2283
SKU0583,Product 0583,Store B,354.0,0.0251,Supplier 64,1348.0,57.519,102.5652
SKU0883,Product 0883,Store B,168.0,0.0706,Multiple suppliers,931.0,141.6395,70.837
SKU0583,Product 0583,Store C,1187.0,0.0251,Supplier 64,736.0,39.342,56.0
SKU0189,Product 0189,Store A,120.0,0.0264,Supplier 68,691.0,34.943,52.5761
SKU0867,Product 0867,Store A,-45.0,0.0171,Supplier 69,594.0,24.651,45.1957
SKU0867,Product 0867,Store B,115.0,0.0171,Supplier 69,578.0,23.987,43.9783
SKU0867,Product 0867,Store C,197.0,0.0181,Supplier 69,380.0,15.77,28.913
SKU1629,Product 1629,Store C,112.0,0.083,Supplier 07,371.0,30.793,28.2283
SKU0861,Product 0861,Store C,0.0,0.2847,Supplier 69,355.0,174.9972,27.0109
SKU0841,Product 0841,Store C,80.0,0.1826,Supplier 25,342.0,98.2056,26.0217
SKU1629,Product 1629,Store A,61.0,0.083,Supplier 07,324.0,26.892,24.6522
SKU0569,Product 0569,Store B,0.0,0.0084,Supplier 05,306.0,58.93,23.2826
SKU0883,Product 0883,Store C,100.0,0.0706,Multiple suppliers,295.0,48.057,22.4457
SKU0569,Product 0569,Store A,0.0,0.0084,Supplier 05,293.0,66.898,22.2935
SKU0841,Product 0841,Store A,263.0,0.1826,Supplier 25,286.0,80.8088,21.7609
SKU1485,Product 1485,Store C,0.0,0.0,Multiple suppliers,283.0,72.625,21.5326
SKU1629,Product 1629,Store B,75.0,0.083,Supplier 07,259.0,21.4638,19.7065
SKU0228,Product 0228,Store C,96.0,0.0602,Multiple suppliers,235.0,42.5541,17.8804
SKU0441,Product 0441,Store B,0.0,0.0243,Supplier 68,225.0,18.675,17.1196
SKU0692,Product 0692,Store C,31.0,0.21,Supplier 02,213.0,104.7294,16.2065
SKU0569,Product 0569,Store C,0.0,0.0083,Supplier 05,212.0,37.7235,16.1304
SKU0519,Product 0519,Store C,93.0,0.0796,Multiple suppliers,210.0,69.4212,15.9783
SKU0438,Product 0438,Store B,0.0,0.0,Multiple suppliers,208.0,17.264,15.8261
SKU1485,Product 1485,Store B,0.0,0.0,Multiple suppliers,185.0,46.065,14.0761
SKU1398,Product 1398,Store A,173.0,0.0743,Multiple suppliers,182.0,43.9236,13.8478
SKU1424,Product 1424,Store C,69.0,0.0743,Multiple suppliers,177.0,43.7742,13.4674
SKU0879,Product 0879,Store B,76.0,0.0311,Supplier 69,172.0,20.4097,13.087
SKU0841,Product 0841,Store B,213.0,0.1883,Supplier 25,169.0,48.1151,12.8587
SKU0655,Product 0655,Store C,26.0,0.4324,Supplier 02,167.0,275.726,12.7065
SKU0189,Product 0189,Store B,81.0,0.0264,Supplier 68,165.0,13.695,12.5543
SKU0633,Product 0633,Store C,55.0,0.7968,Supplier 02,163.0,323.1024,12.4022
SKU1077,Product 1077,Store B,0.0,0.4756,Supplier 02,162.0,267.177,12.3261
SKU0519,Product 0519,Store A,48.0,0.0796,Multiple suppliers,159.0,51.7588,12.0978
SKU1231,Product 1231,Store C,-9.0,0.0498,Supplier 19,159.0,26.3442,12.0978
SKU1424,Product 1424,Store A,206.0,0.0743,Multiple suppliers,158.0,37.848,12.0217
SKU1398,Product 1398,Store C,108.0,0.0743,Multiple suppliers,156.0,38.4207,11.8696
SKU1787,Product 1787,Store C,0.0,1.2367,Supplier 42,156.0,448.8225,11.8696
SKU0839,Product 0839,Store C,135.0,0.093,Supplier 02,149.0,36.5781,11.337
SKU0692,Product 0692,Store B,22.0,0.21,Supplier 02,143.0,70.5666,10.8804
SKU1404,Product 1404,Store B,158.0,0.381,Multiple suppliers,143.0,141.1332,10.8804
SKU0518,Product 0518,Store C,57.0,0.2229,Multiple suppliers,142.0,81.9791,10.8043
SKU1404,Product 1404,Store A,179.0,0.381,Multiple suppliers,139.0,134.7588,10.5761
SKU1404,Product 1404,Store C,108.0,0.381,Multiple suppliers,139.0,137.448,10.5761
SKU1365,Product 1365,Store B,76.0,0.1411,Supplier 59,137.0,41.6328,10.4239
SKU1687,Product 1687,Store C,0.0,0.0,Supplier 42,137.0,68.226,10.4239
SKU1229,Product 1229,Store C,-1.0,0.0498,Supplier 19,135.0,27.6971,10.2717
SKU0668,Product 0668,Store C,0.0,1.9124,Supplier 61,133.0,469.0164,10.1196
SKU0839,Product 0839,Store B,171.0,0.093,Supplier 02,133.0,32.9178,10.1196
SKU0189,Product 0189,Store C,26.0,0.0264,Supplier 68,130.0,10.79,9.8913
SKU0441,Product 0441,Store A,0.0,0.0243,Supplier 68,130.0,10.79,9.8913
SKU1735,Product 1735,Store C,11.0,0.415,Supplier 09,128.0,189.8874,9.7391
SKU0228,Product 0228,Store B,42.0,0.0602,Multiple suppliers,126.0,32.7933,9.587
SKU0652,Product 0652,Store C,23.0,0.4084,Supplier 02,126.0,156.2475,9.587
SKU0681,Product 0681,Store C,0.0,0.3826,Supplier 02,125.0,144.4366,9.5109
SKU0861,Product 0861,Store B,0.0,0.2847,Supplier 69,125.0,61.752,9.5109
SKU0839,Product 0839,Store A,135.0,0.093,Supplier 02,123.0,29.1579,9.3587
SKU0863,Product 0863,Store C,2.0,0.4316,Supplier 69,122.0,64.242,9.2826
SKU1744,Product 1744,Store C,78.0,0.083,Multiple suppliers,122.0,10.126,9.2826
SKU1502,Product 1502,Store C,67.0,0.2303,Multiple suppliers,120.0,98.853,9.1304
SKU1416,Product 1416,Store C,0.0,0.4778,Multiple suppliers,119.0,127.9694,9.0543
SKU1743,Product 1743,Store C,0.0,0.083,Supplier 43,118.0,9.794,8.9783
SKU1744,Product 1744,Store B,87.0,0.083,Multiple suppliers,118.0,9.7608,8.9783
SKU1384,Product 1384,Store C,6.0,0.4897,Multiple suppliers,117.0,115.8348,8.9022
SKU0232,Product 0232,Store C,15.0,0.1328,Supplier 02,116.0,60.424,8.8261
SKU1239,Product 1239,Store C,0.0,0.4176,Supplier 04,114.0,7.553,8.6739
SKU0883,Product 0883,Store A,345.0,0.0706,Multiple suppliers,113.0,17.596,8.5978
SKU1744,Product 1744,Store A,97.0,0.083,Multiple suppliers,113.0,9.379,8.5978
SKU0681,Product 0681,Store B,3.0,0.3826,Supplier 02,112.0,127.7038,8.5217
SKU0655,Product 0655,Store B,34.0,0.4324,Supplier 02,111.0,173.304,8.4457
SKU1328,Product 1328,Store C,0.0,0.0,Supplier 03,110.0,152.6702,8.3696
SKU0248,Product 0248,Store C,33.0,0.679,Multiple suppliers,108.0,169.2121,8.2174
SKU0681,Product 0681,Store A,0.0,0.3826,Supplier 02,106.0,121.5452,8.0652
SKU0803,Product 0803,Store B,0.0,0.2407,Supplier 66,105.0,137.448,7.9891
SKU1030,Product 1030,Store B,0.0,0.4399,Supplier 69,103.0,68.392,7.837
SKU0438,Product 0438,Store C,1.0,0.0265,Multiple suppliers,101.0,8.383,7.6848
SKU0655,Product 0655,Store A,3.0,0.4324,Supplier 02,101.0,163.51,7.6848
SKU1485,Product 1485,Store A,0.0,0.0,Multiple suppliers,100.0,24.9,7.6087
SKU1686,Product 1686,Store C,18.0,0.4897,Supplier 42,100.0,116.2,7.6087
SKU0882,Product 0882,Store B,86.0,0.0784,Supplier 69,99.0,22.7088,7.5326
SKU1077,Product 1077,Store C,0.0,0.4756,Supplier 02,98.0,161.518,7.4565
SKU0247,Product 0247,Store C,0.0,0.679,Multiple suppliers,97.0,152.1805,7.3804
SKU1790,Product 1790,Store C,54.0,1.2376,Supplier 42,97.0,230.3665,7.3804
SKU1436,Product 1436,Store A,300.0,0.0743,Multiple suppliers,96.0,23.7297,7.3043
SKU0692,Product 0692,Store A,68.0,0.21,Supplier 02,95.0,46.9614,7.2283
SKU1084,Product 1084,Store C,2.0,0.3196,Supplier 02,95.0,118.275,7.2283
SKU1323,Product 1323,Store B,0.0,0.6226,Supplier 03,94.0,131.0819,7.1522
SKU0738,Product 0738,Store C,36.0,0.6391,Supplier 69,92.0,137.448,7.0
SKU0861,Product 0861,Store A,0.0,0.2846,Supplier 69,92.0,44.6208,7.0
SKU1084,Product 1084,Store B,15.0,0.3196,Supplier 02,92.0,112.9215,7.0
