period,sku,location,retail_price,retail_price_net,avg_qty,min_qty,max_qty,current_qty,current_retail_value,current_cost_value,unit_cost,purchase_price,product_name,unit,unit_description,stock_group,supplier
2025-05-01,SKU0002,Store C,0.332,0.2678,2.0,2.0,2.0,0.0,0.0,0.0,0.0585,0.0585,Product 0002,TK,TK(14)G,CANDYLAND,Supplier 64
2025-05-01,SKU0005,Warehouse,1.328,1.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0005,TK,TK(100)G,CANDYLAND,Supplier 42
2025-05-01,SKU0007,Store C,0.581,0.4685,38.258,32.0,42.0,1.0,0.581,0.2094,0.2094,0.2094,Product 0007,TK,TK(35)G,CANDYLAND,Supplier 64
2025-05-01,SKU0015,Store C,2.49,2.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0015,TK,TK(10)G,CANDYLAND,Supplier 66
2025-05-01,SKU0016,Store A,1.494,1.2048,22.193,16.0,28.0,0.0,0.0,0.0,0.5264,0.5264,Product 0016,TK,TK(80)G,CANDYLAND,Supplier 64
2025-05-01,SKU0025,Store B,1.245,1.0041,2.903,2.0,3.0,0.0,0.0,0.0,0.3591,0.3591,Product 0025,TK,TK(105)ML,CANDYLAND,Supplier 64
2025-05-01,SKU0032,Warehouse,21.497,17.3363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0032,TK,TK(955)G,CANDYLAND,Supplier 29
2025-05-01,SKU0041,Store C,3.735,3.0121,7.225,4.0,10.0,0.0,0.0,0.0,1.6602,1.6602,Product 0041,TK,TK(20)G,CANDYLAND,Supplier 66
2025-05-01,SKU0045,Store C,3.735,3.0121,7.096,3.0,12.0,0.0,0.0,0.0,1.6602,1.6602,Product 0045,TK,TK(20)G,CANDYLAND,Supplier 66
2025-05-01,SKU0059,Store A,2.905,2.3428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0059,TK,TK(120)G,CANDYLAND,Supplier 66
2025-05-01,SKU0062,Store A,4.897,3.9492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0062,TK,TK(97)G,CANDYLAND,Supplier 73
2025-05-01,SKU0066,Store C,0.913,0.7363,3.451,0.0,14.0,0.0,0.0,0.0,0.3736,0.3736,Product 0066,TK,TK(90)G,CANDYLAND,Supplier 68
2025-05-01,SKU0069,Store A,5.395,4.3508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0069,TK,TK(77)G,CANDYLAND,Supplier 73
2025-05-01,SKU0070,Store B,1.577,1.2718,0.0,0.0,0.0,17.0,26.809,10.5825,0.0,0.0,Product 0070,TK,TK(30)G,CANDYLAND,Supplier 66
2025-05-01,SKU0073,Store A,1.411,1.1379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0073,TK,TK(50)G,CANDYLAND,Supplier 66
2025-05-01,SKU0096,Store A,0.913,0.7363,3.612,0.0,28.0,0.0,0.0,0.0,0.3736,0.3736,Product 0096,TK,TK(90)G,CANDYLAND,Supplier 68
2025-05-01,SKU0101,Store B,1.577,1.2718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Product 0101,TK,TK(100)G,CANDYLAND,Supplier 59
