sku,product_name,category,unit
SKU0001,Product 0001,Category 18,TK
SKU0002,Product 0002,Category 18,TK
SKU0003,Product 0003,Category 18,TK
SKU0004,Product 0004,Category 18,TK
SKU0007,Product 0007,Category 36,TK
SKU0008,Product 0008,Category 36,TK
SKU0010,Product 0010,Category 37,TK
SKU0011,Product 0011,Category 20,TK
SKU0012,Product 0012,Category 36,TK
SKU0013,Product 0013,Category 19,TK
SKU0014,Product 0014,Category 19,TK
SKU0015,Product 0015,Category 23,TK
SKU0016,Product 0016,Category 18,TK
SKU0018,Product 0018,Category 18,TK
SKU0019,Product 0019,Category 64,TK
SKU0021,Product 0021,Category 64,TK
SKU0022,Product 0022,Category 26,TK
SKU0023,Product 0023,Category 26,TK
SKU0024,Product 0024,Category 26,TK
SKU0025,Product 0025,Category 26,TK
SKU0026,Product 0026,Category 26,TK
SKU0027,Product 0027,Category 26,TK
SKU0028,Product 0028,Category 26,TK
SKU0029,Product 0029,Category 26,TK
SKU0030,Product 0030,Category 26,TK
SKU0032,Product 0032,Category 64,TK
SKU0033,Product 0033,Category 06,TK
SKU0034,Product 0034,Category 06,TK
SKU0036,Product 0036,Category 31,TK
SKU0037,Product 0037,Category 20,TK
SKU0039,Product 0039,Category 18,TK
SKU0041,Product 0041,Category 23,TK
SKU0042,Product 0042,Category 23,TK
SKU0043,Product 0043,Category 23,TK
SKU0044,Product 0044,Category 23,TK
SKU0045,Product 0045,Category 23,TK
SKU0046,Product 0046,Category 23,TK
SKU0047,Product 0047,Category 23,TK
SKU0048,Product 0048,Category 23,TK
SKU0050,Product 0050,Category 23,TK
SKU0051,Product 0051,Category 23,TK
SKU0053,Product 0053,Category 58,TK
SKU0061,Product 0061,Category 12,TK
SKU0062,Product 0062,Category 08,TK
SKU0063,Product 0063,Category 14,TK
SKU0064,Product 0064,Category 12,TK
SKU0065,Product 0065,Category 12,TK
SKU0066,Product 0066,Category 12,TK
SKU0070,Product 0070,Category 24,TK
SKU0081,Product 0081,Category 24,TK
SKU0082,Product 0082,Category 24,TK
SKU0084,Product 0084,Category 15,TK
SKU0085,Product 0085,Category 45,TK
SKU0086,Product 0086,Category 12,TK
SKU0087,Product 0087,Category 12,TK
SKU0088,Product 0088,Category 12,TK
SKU0091,Product 0091,Category 12,TK
SKU0092,Product 0092,Category 12,TK
SKU0094,Product 0094,Category 12,TK
SKU0095,Product 0095,Category 12,TK
SKU0096,Product 0096,Category 12,TK
SKU0098,Product 0098,Category 13,TK
SKU0099,Product 0099,Category 12,TK
SKU0100,Product 0100,Category 13,TK
SKU0103,Product 0103,Category 08,TK
SKU0105,Product 0105,Category 12,TK
SKU0107,Product 0107,Category 23,TK
SKU0108,Product 0108,Category 12,TK
SKU0110,Product 0110,Category 22,TK
SKU0114,Product 0114,Category 08,TK
SKU0115,Product 0115,Category 12,TK
SKU0116,Product 0116,Category 06,TK
SKU0117,Product 0117,Category 16,TK
SKU0119,Product 0119,Category 26,TK
SKU0120,Product 0120,Category 20,TK
SKU0121,Product 0121,Category 20,TK
SKU0122,Product 0122,Category 20,TK
