row_id,transaction_id,date,time,sku,location,channel,quantity,gross_revenue,net_revenue,vat,cost,gross_profit,discount_amount,discount_pct,is_return
ROW00000007,TXN0000003,2025-05-01,11:55:28,SKU1610,Store A,Retail,1.0,1.411,1.1565,0.2545,0.664,0.4925,0.0,0.0,False
ROW00000029,TXN0000014,2025-05-01,13:40:47,SKU0634,Store A,Retail,2.0,3.652,2.9935,0.6585,1.4576,1.5358,0.0,0.0,False
ROW00000058,TXN0000023,2025-05-01,14:16:42,SKU0477,Store A,Retail,1.0,0.83,0.6804,0.1496,0.2739,0.4065,0.0,0.0,False
ROW00000063,TXN0000025,2025-05-01,14:21:40,SKU0455,Store A,Retail,2.0,0.996,0.8164,0.1796,0.332,0.4844,0.0,0.0,False
ROW00000071,TXN0000029,2025-05-01,14:51:58,SKU0441,Store A,Retail,1.0,0.249,0.2041,0.0449,0.0243,0.1798,0.0,0.0,False
ROW00000164,TXN0000068,2025-05-01,19:15:16,SKU1787,Store A,Retail,1.0,2.656,2.1771,0.4789,1.4027,0.7744,0.0,0.0,False
ROW00000212,TXN0000089,2025-05-01,11:23:10,SKU0436,Store B,Retail,1.0,0.249,0.2041,0.0449,0.0249,0.1792,0.0,0.0,False
ROW00000216,TXN0000089,2025-05-01,11:23:10,SKU0540,Store B,Retail,1.0,1.328,1.0885,0.2395,0.6059,0.4826,0.0,0.0,False
ROW00000225,TXN0000091,2025-05-01,11:39:31,SKU0900,Store B,Retail,1.0,0.498,0.4082,0.0898,0.2548,0.1534,0.166,0.25,False
ROW00000298,TXN0000129,2025-05-01,16:30:27,SKU1617,Store B,Retail,1.0,1.2699,1.0409,0.229,0.664,0.3769,0.1411,0.1,False
ROW00000329,TXN0000143,2025-05-01,19:12:52,SKU1610,Store B,Retail,1.0,1.411,1.1565,0.2545,0.664,0.4925,0.0,0.0,False
ROW00000341,TXN0000147,2025-05-01,10:12:27,SKU1629,Store C,Retail,2.0,0.166,0.166,0.0,0.166,0.0,0.0,0.0,False
ROW00000342,TXN0000148,2025-05-01,10:16:12,SKU0509,Store C,Retail,1.0,1.826,1.4967,0.3293,0.6432,0.8535,0.0,0.0,False
ROW00000357,TXN0000152,2025-05-01,10:43:27,SKU0754,Store C,Retail,2.0,0.83,0.6804,0.1496,0.4748,0.2056,0.0,0.0,False
ROW00000389,TXN0000170,2025-05-01,11:57:21,SKU0664,Store C,Retail,1.0,4.233,3.4696,0.7634,2.0451,1.4245,0.0,0.0,False
ROW00000393,TXN0000173,2025-05-01,12:03:50,SKU1598,Store C,Retail,1.0,2.075,1.7008,0.3742,1.2284,0.4724,0.0,0.0,False
ROW00000528,TXN0000246,2025-05-02,16:13:41,SKU0438,Store A,Retail,1.0,0.249,0.2041,0.0449,0.0264,0.1777,0.0,0.0,False
ROW00000534,TXN0000248,2025-05-02,16:15:35,SKU0008,Store A,Retail,1.0,0.415,0.3401,0.0749,0.2094,0.1307,0.166,0.2857,False
ROW00000561,TXN0000265,2025-05-02,10:25:38,SKU1144,Store B,Retail,1.0,2.656,2.1771,0.4789,1.3525,0.8246,0.0,0.0,False
ROW00000583,TXN0000274,2025-05-02,13:25:04,SKU1062,Store B,Retail,5.0,0.83,0.6804,0.1496,0.2561,0.4243,0.415,0.3333,False
ROW00000629,TXN0000292,2025-05-02,17:57:25,SKU0247,Store B,Retail,1.0,1.411,1.1565,0.2545,0.7719,0.3846,0.0,0.0,False
ROW00000649,TXN0000303,2025-05-02,18:31:11,SKU1294,Store B,Retail,2.0,0.498,0.4082,0.0898,0.1494,0.2588,0.0,0.0,False
ROW00000735,TXN0000339,2025-05-02,12:26:49,SKU0499,Store C,Retail,1.0,0.83,0.6804,0.1496,0.2075,0.4729,0.83,0.5,False
ROW00000786,TXN0000357,2025-05-02,14:21:15,SKU1716,Store C,Retail,1.0,1.162,0.9524,0.2096,0.4814,0.471,0.0,0.0,False
ROW00000793,TXN0000360,2025-05-02,14:48:24,SKU1610,Store C,Retail,1.0,1.411,1.1565,0.2545,0.664,0.4925,0.0,0.0,False
ROW00000818,TXN0000370,2025-05-02,15:43:46,SKU1575,Store C,Retail,1.0,1.328,1.0885,0.2395,0.5877,0.5008,0.166,0.1111,False
ROW00000845,TXN0000384,2025-05-02,18:16:29,SKU0278,Store C,Retail,2.0,2.324,1.9049,0.4191,0.6487,1.2562,0.0,0.0,False
ROW00000858,TXN0000387,2025-05-02,18:31:57,SKU1629,Store C,Retail,1.0,0.083,0.083,0.0,0.083,0.0,0.0,0.0,False
ROW00000873,TXN0000396,2025-05-03,10:55:04,SKU0460,Store A,Retail,1.0,2.324,1.9049,0.4191,0.747,1.1579,0.0,0.0,False
ROW00000912,TXN0000408,2025-05-03,13:03:07,SKU1454,Store A,Retail,1.0,0.913,0.7483,0.1647,0.3818,0.3665,0.0,0.0,False
ROW00000943,TXN0000415,2025-05-03,13:45:13,SKU0030,Store A,Retail,1.0,0.498,0.4082,0.0898,0.083,0.3252,0.0,0.0,False
ROW00000980,TXN0000434,2025-05-03,15:27:22,SKU1677,Store A,Retail,2.0,1.162,0.9524,0.2096,0.581,0.3714,0.498,0.3,False
ROW00001022,TXN0000453,2025-05-03,16:43:21,SKU1787,Store A,Retail,1.0,2.656,2.1771,0.4789,1.4027,0.7744,0.0,0.0,False
