sku,product_name,revenue,units,profit,revenue_share,cumulative_share,abc_class,monthly_avg_units,cv,xyz_class,segment
SKU1787,Product 1787,6531.6269,2392.0,1973.5992,0.0282,0.0282,A,159.4667,0.7483,Y,AY
SKU0581,Product 0581,3265.1951,288.0,1414.1218,0.0141,0.0423,A,19.2,0.8629,Y,AY
SKU1790,Product 1790,3231.4473,1233.0,900.9156,0.0139,0.0562,A,82.2,0.8974,Y,AY
SKU1795,Product 1795,2639.0348,327.0,703.9673,0.0114,0.0676,A,21.8,0.6039,Y,AY
SKU0668,Product 0668,2612.0266,696.0,771.7004,0.0113,0.0788,A,46.4,0.6037,Y,AY
SKU0021,Product 0021,2561.5626,130.0,731.1596,0.011,0.0899,A,8.6667,1.6403,Z,AZ
SKU1108,Product 1108,2493.7516,170.0,759.9666,0.0108,0.1006,A,11.3333,1.159,Z,AZ
SKU0666,Product 0666,2407.2822,588.0,813.2733,0.0104,0.111,A,39.2,0.6444,Y,AY
SKU0664,Product 0664,2147.1353,568.0,638.8854,0.0093,0.1203,A,37.8667,0.5608,Y,AY
SKU1404,Product 1404,2107.1708,2192.0,876.591,0.0091,0.1294,A,146.1333,0.5669,Y,AY
SKU1077,Product 1077,2017.398,1230.0,980.1188,0.0087,0.1381,A,82.0,0.5414,Y,AY
SKU0532,Product 0532,2006.3092,675.0,950.8145,0.0087,0.1467,A,45.0,0.5513,Y,AY
SKU1686,Product 1686,1959.5553,1508.0,763.4917,0.0085,0.1552,A,100.5333,0.8865,Y,AY
SKU1326,Product 1326,1825.834,1315.0,657.1268,0.0079,0.163,A,87.6667,0.6629,Y,AY
SKU1321,Product 1321,1744.4857,1262.0,623.9339,0.0075,0.1706,A,84.1333,0.5668,Y,AY
SKU0633,Product 0633,1526.4862,779.0,612.8508,0.0066,0.1771,A,51.9333,0.4067,X,AX
SKU0655,Product 0655,1519.0826,951.0,814.4424,0.0066,0.1837,A,63.4,1.052,Z,AZ
SKU0247,Product 0247,1490.846,1009.0,446.3529,0.0064,0.1901,A,67.2667,0.2635,X,AX
SKU1322,Product 1322,1468.1787,1071.0,517.9776,0.0063,0.1965,A,71.4,0.4621,X,AX
SKU1384,Product 1384,1456.8492,1734.0,356.3798,0.0063,0.2027,A,115.6,0.8389,Y,AY
